skill_id,skill_name
KS120P86XDXZJT3B7KVJ,(American Society For Quality) ASQ Certified
KS126XS6CQCFGC3NG79X,.NET Assemblies
KS1200B62W5ZF38RJ7TD,.NET Framework
KS126XW78QJCF4TRV2X7,.NET Framework 1
KS126XY68BNKXSBSLPYS,.NET Framework 3
KS126XR63RKYVCKYDNBN,.NET Framework 4
KS126Y166NXP5X1SLV6V,.NET Reflector
KS126Y16DLZ0N5THPLDM,.NET Remoting
KSLGDAXJ4EFDMIOPMGL2,.nettiers
KS1200M68TBM4SXLZV0G,10 Gigabit Ethernet
KSJCP2DYKDSINHFDMF51,1010data
KS1200L6T0NXQPW7Z8YR,10BASE-F (Physical Layer Protocols)
KS1200M620TMJ94XF70B,10BASE-FL
KS1200K743J4NT3LXJ3B,10BASE2
KS1200L6N1G9SQSN2K4C,10BASE5
KS4426Z6BVCJL5VZ46B9,10G-PON
KS1200P7676N5RQW5KZ0,123RF (Image Library)
KSG3JYO4PNRLSK692Z3J,128bit
KSFX0RS58RA2JDB0PO5E,12factor
ESF4BA869D66098F2ED0,1Password
KS1200Y5ZNNT2B1M81RN,2020 Design Software
KS1200Y714QV48TFJ75H,2D Animation
KS1200Y77WTLF0Y9J7TM,2D Computer Graphics
ES30F1316344594A4359,2D Computer-Aided Drafting And Design
KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software
KSTJQLDSI2I585YSSY2K,2checkout
KS120166RRTL1W8CJK4K,3.5G (Telecommunication)
KS120196S0WRN2WBY8ZR,35 Mm Films
KS126YN74S42KYQZCPH6,389 Directory Server (Fedora Project)
KS1201C66L7TG167P9ZN,3COM Certified IP Telephony NBX Expert
KS1201D70SNS03FL6WB1,3COM Certified IP Telephony VCX Expert
KS1201F63V91RBJT9L04,3CX Phone Systems
ESA0CCF8B28EE01393A7,3D Animation
KS1201F732CFS5JFTNQH,3D Art
KS1201G6D3S7LH8MTN6N,3D Camcorder
KS120146S76B3ZKN68X3,3D Computer Graphics
KS1201J6B7ZYCJ92N7Z7,3D Computer Graphics Software
ES8A356166684EF3A883,3D Conformal Radiotherapy (3DCRT)
KS1201H6XMJ7HKG59RQ1,3D Graphic Design
KS1201477MH4F3DJK1RC,3D Modeling
KS126NG5VQMYFP0Z7024,3D Modeling Software
KS1201566L1SYP3D4LS3,3D Printing
KS1201K61KYYQZYYSCBC,3D Projection
KS1201K6P46HG0XKD41J,3D Reconstruction
KS1201K6QY0SGLMR741J,3D Rendering
KS1201H64Z45S4JD1GMV,3D Scanning
ES4DC1E7D01D31F76ADB,3D Touch
KS1201L6Z9M6FN2ZMMNM,3D Visualization
KS1201M741SCTN1QLQ0S,3DML
KS1201J773PFGJJKNTH9,3DMark (Computer Benchmarking)
KS1201L6XXXWY12SW6LT,3DSlicer
KS1201M6H7JPBJK7PQ4F,3Delight (Software)
KS1201N5W7VSFRRRSTRK,3Dvia Composer
KS1201N73NQ3VPC23ZJ7,3GP (Telecommunication)
KS1201Q6YZG5VR15ZJ0G,3GPP (Telecommunication)
KS1201Q70VWZPS6KTMFR,3GPP2 (Telecommunication)
KSD334WEJF3MR99D2G21,3d Engine
KSSG3YBA1AOX9ZTC9SNX,3d Secure
ESB08327A2C1375D3B44,4D Modeling (Construction)
KS126WT6C4H1F59H558J,4DOS (Command Line Interpreter)
KS1201T71H5XS0N73DNT,4Sight
KS4WRJHCU5Y9KS8158VY,4d Database
KS4417K6M0MSRGBX9S1D,50% Tissue Culture Infective Dose (TCID50)
KS1201V76VVTC7GSM3PP,529 College Savings Planning
KS1201W6RWTRK3BBX5R0,56 Kbit/S Modems
ESD7BFFE052367E6732E,5G Technology
